Unnamed: 0,Model,Price_w/o_shipping,Vendor,Date
3433,Miele F 2672 Vi,"€ 10100,00",Red Zac,2024-06-26
3434,Amica EGS 16183,"€ 331,99",Universal Versand,2024-06-26
3435,Amica EGS 16183,"€ 331,99",OTTO Österreich,2024-06-26
3436,Amica EGS 16183,"€ 341,45",Elektroshop Wagner AT,2024-06-26
3437,Hisense FV298N4AWE,"€ 458,77",Amazon.at,2024-06-26
3438,Amica GS 321 100 W,"€ 294,39",Elektroshop Wagner AT,2024-06-26
3439,Amica GS 321 100 W,"€ 309,99",Universal Versand,2024-06-26
3440,Amica GS 321 100 W,"€ 309,99",OTTO Österreich,2024-06-26
3441,Exquisit GB40-150E Mini grau,"€ 149,99",Universal Versand,2024-06-26
3442,Exquisit GB40-150E Mini grau,"€ 149,99",OTTO Österreich,2024-06-26
3443,Exquisit GB40-150E Mini grau,"€ 176,47",Elektroshop Wagner AT,2024-06-26
3444,Exquisit GB40-150E Mini rot,"€ 159,99",Universal Versand,2024-06-26
3445,Exquisit GB40-150E Mini rot,"€ 159,99",OTTO Österreich,2024-06-26
3446,Exquisit GB40-150E Mini rot,"€ 163,35",Elektroshop Wagner AT,2024-06-26
3447,Miele F 32202 i,"€ 1029,00",Red Zac,2024-06-26
3448,Beko FSE1074N Tisch-Gefrierschrank,"€ 262,17",Amazon.at,2024-06-26
3449,Beko FSE1074N Tisch-Gefrierschrank,"€ 270,00",Alternate.at,2024-06-26
